Intensity,Label - Bicycling,Label - Running,Label - Sitting,Label - Swimming,Milk,Name,Reset Label,Serving Size,Size,Size in ounce,Type,Type - Sitting,Whip,%DV - Added Sugars,%DV - Carbohydrate,%DV - Cholesterol,%DV - Dietary Fiber,%DV - Protein,%DV - Saturated Fat,%DV - Sodium,%DV - Total Fat,%DV - Trans Fat,Caffeine (mg),Calcium (%DV),Calories,Cholesterol (mg),Dietary Fiber (g),Iron (%DV),Number of Records,Protein (g),Saturated Fat (g),Sodium (mg),Sugar (g),Time to Burn - Bicycling,Time to Burn - Running,Time to Burn - Sitting,Time to Burn - Swimming,Total Carbohydrates (g),Total Fat (g),Trans Fat (g),Vitamin A (%DV),Vitamin C (%DV),Weight
Moderate,0 Mins,0 Mins,2 Mins,0 Mins,N/A,Brewed Coffee Traveler - Dark Roast,Reset Filters,236 mL,1 - 236 mL serving,,Coffee,Yes,N/A,0,0,0,0,0.006,0,0.002173913,0.001282051,0,130,0,3,0,0,0,1,0.3,0,5,0,0,0,120,0,0,0.1,0,0,0,160
Moderate,0 Mins,0 Mins,2 Mins,0 Mins,N/A,Brewed Coffee Traveler - Decaf Pike Place® Roast,Reset Filters,236 mL,1 - 236 mL serving,,Coffee,Yes,N/A,0,0,0,0,0.006,0,0.002173913,0.001282051,0,15,0,3,0,0,0,1,0.3,0,5,0,0,0,120,0,0,0.1,0,0,0,170
Moderate,0 Mins,0 Mins,2 Mins,0 Mins,N/A,Brewed Coffee Traveler - Medium Roast,Reset Filters,236 mL,1 - 236 mL serving,,Coffee,Yes,N/A,0,0,0,0,0.006,0,0.002173913,0.001282051,0,155,0,3,0,0,0,1,0.3,0,5,0,0,0,120,0,0,0.1,0,0,0,172
Moderate,0 Mins,0 Mins,2 Mins,0 Mins,N/A,Brewed Coffee Traveler - True North Blend Blonde Roast,Reset Filters,236 mL,1 - 236 mL serving,,Coffee,Yes,N/A,0,0,0,0,0.006,0,0.002173913,0.001282051,0,180,0,3,0,0,0,1,0.3,0,5,0,0,0,120,0,0,0.1,0,0,0,170
Moderate,1 Mins,1 Mins,15 Mins,1 Mins,N/A,Flavoured Syrup,Reset Filters,N/A,1 pump,,Add-Ons,Yes,N/A,0.1,0.018181818,0,0,0,0,0,0,0,0,0,20,0,0,0,1,0,0,0,5,60,60,900,60,5,0,0,0,0,170
Moderate,0 Mins,0 Mins,0 Mins,0 Mins,N/A,Flavoured Sugar-Free Syrup,Reset Filters,N/A,1 pump,,Add-Ons,Yes,N/A,0,0,0,0,0,0,0.002173913,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,170
Moderate,3 Mins,2 Mins,27 Mins,3 Mins,N/A,Mocha Syrup,Reset Filters,N/A,1 pump,,Add-Ons,Yes,N/A,0.1,0.025454545,0,0.035714286,0.02,0,0,0.006410256,0,5,0,35,0,1,0.06,1,1,0,0,5,180,120,1620,180,7,0.5,0,0,0,181
Moderate,2 Mins,1 Mins,19 Mins,2 Mins,N/A,Matcha Green Tea Powder,Reset Filters,N/A,1 scoop,,Add-Ons,Yes,N/A,0.1,0.021818182,0,0,0.006,0,0,0.001282051,0,25,0,25,0,0,0.02,1,0.3,0,0,5,120,60,1140,120,6,0.1,0,0,0.04,170
Moderate,2 Mins,2 Mins,23 Mins,2 Mins,N/A,Protein & Fibre Powder,Reset Filters,N/A,1 scoop,,Add-Ons,Yes,N/A,0,0.003636364,0,0.035714286,0.12,0.005,0.019565217,0.001282051,0,0,0,30,0,1,0.02,1,6,0.1,45,0,120,120,1380,120,1,0.1,0,0,0,170
Moderate,0 Mins,0 Mins,3 Mins,0 Mins,N/A,Espresso Shot,Reset Filters,N/A,1 shot,,Add-Ons,Yes,N/A,0,0.003636364,0,0,0.008,0,0,0.001282051,0,75,0,5,0,0,0,1,0.4,0,0,0,0,0,180,0,1,0.1,0,0,0,240
